,Demography site?,Population genomic dataset?,Am Nat Gene Flow dataset?,Experimental gene flow dataset,Near weather station,ENVIRONMENTAL EXTREME??,Lat,Lon,Elev
"Deer Flat Creek, Mitchel Canyon (Mt Diablo SP)",,,,,,,37.89761,-121.94553,
Clavey-low,,,,,,,37.899,-120.072,729
Reed,,,,,,,37.98544167,-120.0196806,1320
North Fork Tuolumne,Yes,,,,,,37.98555,-120.2045,689
Fivemile Creek @ confluence with SF Stanislaus,,,,,,,38.06638,-120.35368,
Nicasio Creek,,Yes,,,,,38.0695,-122.76317,26.2128
Northfork of Tuolumne,,,,,,,38.098,-120.106,1405
Beaver Creek,,,,,,,38.24536,-120.26627,1268.5776
dry creek off road 2,,,,,,,38.26604,-120.27887,1113.4344
unnamed gulch off of Jesus Maria Rd,,,,,,,38.28954,-112.67097,
Bear River,,Yes,,,,,38.29481,-120.28986,1075.3344
dry creek off road 1,,,,,,,38.32084,-120.22677,1227.1248
NF Stanislaus @ Sourgrass Rec Area,,,,,,,38.3872,-120.21049,1306
Middle Fork,,,,,,,38.56695,-120.44067,1137.8184
Camp Creek 2,,Yes,Yes,Donor,,,38.67988,-120.41679,1349.6544
Camp Creek,,,,,,,38.71877,-120.52503,1052.4744
South Fork (Indian Springs),,,,,,,38.76268,-120.33118,1098.4992
Alder Creek (S.F.),,,,,,,38.76658,-120.37767,1024.7376
South Fork (Icehouse rd),,,,,,,38.77259,-120.44924,941.832
South Fork (Eagle Rock),,,,,,,38.77699,-120.26443,1282.2936
Wrights Road (S.F.),,,,,,,38.7854,-120.21366,1556.9184
Creek to Rubicon (M.F.),,Yes,,,,,38.92881,-120.49947,1266.444
Seep to Rubicon (M.F.),,,,,,,38.9508,-120.48623,1069.2384
Another Creek to Rubicon (M.F.),,,,,,,38.98095,-120.53929,1315.212
Middle Fork,,,,,,,39.00674,-120.74754,348.996
Creek to Middle Fork,,,,,,,39.01917,-120.51852,1199.0832
Duncan Creek (American MF),,Yes,Yes,,,,39.12205,-120.49242,1489.5576
South Yuba,,,,,,,39.3573,-120.74856,849.1728
Middle Yuba (Oregon Creek),Yes,Yes,Yes,Donor,,,39.39442,-121.08302,425.196
North Yuba 4,,,,,,,39.51165,-120.97871,671.7792
North Yuba 1,,,,,,,39.51642,-121.01138,656.844
North Yuba 3,,,,,,,39.51819,-120.99365,660.5016
North Yuba 2,,,,,,,39.51892,-121.00035,661.1112
Fiddle Creek (FI),Yes,,,,,,39.5204,-120.99815,706
Cherokee Ck. (CH),Yes,,,,,,39.55384,-120.98785,1289
North Yuba 5,,,,,,,39.56652,-120.74506,956.1576
Little North Fork of the Middle Fork Feather (Li),Yes,Yes,,,,,39.71209,-121.27485,510
"South Fork (at Fox Creek, Angelo Coast Range Reserve)",,,,,,,39.74001,-123.63228,449.2752
Little Jameson,Yes,Yes,,Donor,,,39.74298,-120.70401,1592
North Feather (Chip's Creek),,,,,,,39.99982,-121.26988,620.268
Bear Creek,,,,,,,40.43141,-123.98378,64.9224
Van Duzen River,,Yes,,,,,40.48902,-123.9802,87.7824
Trinity,,Yes,,,,,40.65827,-122.91334,479.1456
Little Cow Creek #1,,,,,,,40.73431111,-122.0733583,342.2904
North Fork,,,,,,,40.76996,-123.12745,422.7576
Potem Creek,,,,,,,40.83886944,-122.0280333,352.044
Pit R seep,,,,,,,40.84036944,-122.0154444,380.6952
Squaw Creek,,,,,,,40.87242778,-122.1176889,384.6576
Goose Gap Unknown Creek,,,,,,,40.89904444,-122.0600694,513.8928
Trinity,,,,,,,40.94172,-123.63207,112.4712
Klamath 1 (Aikens Creek),,Yes,,,,,41.22847,-123.65159,3.6576
Slate Creek,,Yes,,,,,41.25024,-123.64343,17.0688
Salmon River 2 (Nordheimer Creek),,,,,,,41.2969,-123.36034,289.2552
Salmon River 1,,,,,,,41.37907,-123.46394,101.1936
Klamath 2,,,,,,,41.533,-123.52674,156.6672
Scott's River 2 (Deep Creek),,,,,,,41.66489,-123.11314,613.8672
Deep Ck. ,Yes,Yes,Yes,,,,41.66546,-123.11341,694
Middle Ck. ,,,,,,,41.6682,-123.11048,657
Scott's River 1,,,,,,,41.66825,-123.10963,598.6272
O'Neil Creek (ON),Yes,,,Donor,,,41.80979,-123.11887,487
Oregon Ck. (OR),Yes,,,Donor,,,39.39664,-121.08234,487
Klamath 3,,Yes,,,,,41.81022,-123.11591,395.6304
Smith River,,,,,,,41.87876,-123.82774,209.0928
Carberry,,,,,,,42.05383333,-123.1629,703.4784
Beaver,,,,,,,42.11471667,-123.05995,559.6128
Thompson,,,,,,,42.2333,-123.1854,439.5216
Deer Creek,Yes,,,,,,42.27411,-123.63617,
Shasta Costa Creek,,,,,,,42.57281,-124.04742,48.1584
Cow Creek - Oregon,,,,,,,42.92653,-123.48479,261
"Honey Creek, North Fork Umpqua",,,,,,,43.30581667,-122.95505,265.786
"Narrows Co. Park, North Fork Umpqua",,,,,,,43.3282,-123.0154,224.638
"Rock Creek, North Fork Umpqua",Yes,Yes,Yes,Focal,,,43.37375,-122.9575,311.2008
Rock Ck. (OR),Yes,Yes,Yes,Focal,,,43.37876,-122.95207,295
Canton Ck. (CAN),Yes,,,,,,43.4137,-122.78043,503
Abeene - Coast Fork Willamette,Yes,Yes,Yes,Focal,,,43.64845,-123.0837167,255.727
London Rd -  Coast Fork Willamette,Yes,Yes,,Focal,,,43.66,-123.0799667,243.535
